,Rating (Google),Combined Rating,Total Ratings (Google),Total Ratings (All),Review Count (Dataset),Average Review Rating,Google Installs
count,138.0,138.0,146.0,146.0,146.0,117.0,146.0
mean,4.480362318840579,4.480362318840579,376366.70547945204,376366.70547945204,28.335616438356166,4.185299145299146,7568613.01369863
std,0.2859595434105609,0.2859595434105609,3229434.3800076223,3229434.3800076223,37.709100227428,0.74061201701069,42831233.704677776
min,3.46,3.46,0.0,0.0,0.0,1.0,500.0
25%,4.3149999999999995,4.3149999999999995,1518.25,1518.25,1.0,3.8,100000.0
50%,4.575,4.575,9292.0,9292.0,7.5,4.32,500000.0
75%,4.6775,4.6775,65414.5,65414.5,44.75,4.69,1000000.0
max,4.85,4.85,38998695.0,38998695.0,100.0,5.0,500000000.0
