App Name,Rating,Google Ratings,Reviews (Dataset),Genre,log_ratings,log_reviews,z_rating,z_log_ratings,z_log_reviews,genre_bonus,z_genre,Composite Score,Rank
Duolingo: Language Lessons,4.45,38998695.0,100,Education,17.479038767637494,4.61512051684126,-0.028751157713138954,2.630553870132452,1.0922822055571755,1.0,0.27111385490794915,1.02323352455671,1
EWA: Learn English & Spanish,4.81,920077.0,46,Education,13.732213728040076,3.8501476017100584,1.0415760316987768,1.312791945232565,0.6531742332251792,1.0,0.27111385490794915,0.9682142283851111,2
Falou - Fast language learning,4.73,832419.0,100,Education,13.632092400123113,4.61512051684126,0.8037255451627976,1.2775791791159048,1.0922822055571755,1.0,0.27111385490794915,0.9503317984021206,3
Quizlet: More than Flashcards,4.72,846000.0,100,Education,13.648275820620759,4.61512051684126,0.7739942343457978,1.2832709034748124,1.0922822055571755,1.0,0.27111385490794915,0.940146791382993,4
Busuu: Learn & Speak Languages,4.67,1040673.0,100,Education,13.855379138129472,4.61512051684126,0.6253376802608098,1.356109336934934,1.0922822055571755,1.0,0.27111385490794915,0.9025356997870342,5
Cake - Learn English & Korean,4.71,1217819.0,37,Education,14.012572933079728,3.6375861597263857,0.7442629235288007,1.4113945439106577,0.5311602090170052,1.0,0.27111385490794915,0.8544669598789136,6
Babbel - Learn Languages,4.62,1100550.0,100,Education,13.911321521446428,4.61512051684126,0.4766811261758218,1.3757843262776872,1.0922822055571755,1.0,0.27111385490794915,0.848975574955865,7
AnkiDroid Flashcards,4.79,149890.0,100,Education,11.91766364226153,4.61512051684126,0.9821134100647826,0.6746129567309532,1.0922822055571755,1.0,0.27111385490794915,0.8407970776474292,8
Wlingua - Learn Spanish,4.78,80652.0,100,Education,11.29791128062967,4.61512051684126,0.9523820992477855,0.45664546254739746,1.0922822055571755,1.0,0.27111385490794915,0.7635143050655635,9
"Rosetta Stone: Learn, Practice",4.62,400719.0,100,Education,12.901018208031498,4.61512051684126,0.4766811261758218,1.020459691433932,1.0922822055571755,1.0,0.27111385490794915,0.7423781845027384,10
Mondly: Learn 41 Languages,4.54,917174.0,100,Education,13.72905357272568,4.61512051684126,0.23883063963983997,1.3116805156071967,1.0922822055571755,1.0,0.27111385490794915,0.7346042371403251,11
Learn German for beginners,4.8,47688.0,95,Education,10.77245604231587,4.564348191467836,1.0118447208817798,0.27184235619164404,1.0631379935147391,1.0,0.27111385490794915,0.726029579403948,12
Simpler: English learning app,4.82,723285.0,5,Education,13.491559996919369,1.791759469228055,1.0713073425157764,1.2281537994412588,-0.5283769318528628,1.0,0.27111385490794915,0.7184050759589106,13
ELSA Speak: English Learning,4.58,952275.0,52,Education,13.766610187722376,3.970291913552122,0.3577558829078309,1.324889212770192,0.7221391914827449,1.0,0.27111385490794915,0.7121083407815338,14
Memrise: Languages for life,4.46,1571537.0,100,Education,14.267565315646468,4.61512051684126,0.00098015310385812,1.5010756070333864,1.0922822055571755,1.0,0.27111385490794915,0.6962825699537892,15
"Learn English - 11,000 Words",4.6,245076.0,100,Education,12.40932772586374,4.61512051684126,0.4172185045418251,0.8475316818821551,1.0922822055571755,1.0,0.27111385490794915,0.6667147329836066,16
Wlingua - Learn English,4.75,444374.0,10,Education,13.004424079539643,2.3978952727983707,0.8631881667967917,1.0568276346510412,-0.1804442686187177,1.0,0.27111385490794915,0.6533460888810805,17
Learn French - Speak French,4.66,108726.0,100,Education,11.596595432329993,4.61512051684126,0.5956063694438127,0.5616929623698066,1.0922822055571755,1.0,0.27111385490794915,0.6523182630906972,18
"Learn German - 11,000 Words",4.71,71689.0,77,Education,11.180106546846918,4.356708826689592,0.7442629235288007,0.41521342579327214,0.9439493286082948,1.0,0.27111385490794915,0.6381704483619559,19
Learn German - Speak German,4.6,143802.0,100,Education,11.876199586360231,4.61512051684126,0.4172185045418251,0.6600300088907938,1.0922822055571755,1.0,0.27111385490794915,0.6104642310861982,20
Learn Spanish for beginners,4.73,30977.0,100,Education,10.341032554107704,4.61512051684126,0.8037255451627976,0.12011030565284947,1.0922822055571755,1.0,0.27111385490794915,0.603091136363204,21
English Grammar Test,4.7,138921.0,29,Education,11.8416679035295,3.4011973816621555,0.7145316127118037,0.647885183243438,0.39546887280803694,1.0,0.27111385490794915,0.5863833601101552,22
Learn English. Speak English,4.6,104475.0,100,Education,11.55671265893817,4.61512051684126,0.4172185045418251,0.5476661530900222,1.0922822055571755,1.0,0.27111385490794915,0.5767550743459667,23
Learn French for beginners,4.67,43079.0,100,Education,10.670814131270324,4.61512051684126,0.6253376802608098,0.23609479954451743,1.0922822055571755,1.0,0.27111385490794915,0.5665313385699092,24
LingoDeer - Learn Languages,4.46,445608.0,100,Education,13.00719716487778,4.61512051684126,0.00098015310385812,1.0578029313981476,1.0922822055571755,1.0,0.27111385490794915,0.5633007672632175,25
WordUp | AI Vocabulary Builder,4.63,182416.0,31,Education,12.11405055403374,3.4657359027997265,0.5064124369928189,0.743682420115851,0.4325151245033195,1.0,0.27111385490794915,0.5392841112233417,26
Learn Spanish. Speak Spanish,4.58,83548.0,100,Education,11.333188565071003,4.61512051684126,0.3577558829078309,0.4690525169893223,1.0922822055571755,1.0,0.27111385490794915,0.5293859348621591,27
Flashcards World,4.68,78454.0,36,Education,11.27028049099317,3.6109179126442243,0.6550689910778069,0.4469276875904406,0.5158521638950573,1.0,0.27111385490794915,0.5263877209780613,28
Gizmo: AI Flashcards and Tutor,4.67,86623.0,28,Education,11.369332192414028,3.367295829986474,0.6253376802608098,0.4817642650525641,0.3760087830182388,1.0,0.27111385490794915,0.4969774937145358,29
Vocabulary Builder - Test Prep,4.64,98312.0,25,Education,11.49591154561097,3.258096538021482,0.536143747809816,0.5262823437881825,0.3133264595968752,1.0,0.27111385490794915,0.4621188796705511,30
"Learn English, Spanish: Learna",4.58,370367.0,13,Education,12.822252384933511,2.6390573296152584,0.3577558829078309,0.9927576766440768,-0.042012986049563106,1.0,0.27111385490794915,0.45963844443723767,31
Learn Dutch - Speak Dutch,4.59,29363.0,100,Education,10.287524713230672,4.61512051684126,0.387487193724828,0.10129154719837669,1.0922822055571755,1.0,0.27111385490794915,0.43095016825167426,32
Drops: Language Learning Games,4.38,307632.0,100,Education,12.636662793043959,4.61512051684126,-0.23687033343212374,0.927485640916452,1.0922822055571755,1.0,0.27111385490794915,0.4290653855043161,33
Andy English Language Learning,4.57,162632.0,23,Education,11.999251407533391,3.1780538303479458,0.32802457209083385,0.703307451263444,0.26738053083093827,1.0,0.27111385490794915,0.4227895558723493,34
DuoCards - Vocabulary Builder,4.61,48231.0,47,Education,10.78377798016924,3.871201010907891,0.4469498153588248,0.2758242924874626,0.6652592621728388,1.0,0.27111385490794915,0.4216904518151314,35
Drops: Learn German,4.56,65374.0,57,Education,11.087895201367225,4.060443010546419,0.2982932612738341,0.38278260801215,0.7738875143601391,1.0,0.27111385490794915,0.4160409752760014,36
Vocabulary - Learn words daily,4.7,89419.0,9,Education,11.401099649787971,2.302585092994046,0.7145316127118037,0.4929369099814986,-0.23515399620338265,1.0,0.27111385490794915,0.4137743043292894,37
Speak: Language Learning,4.7,96215.0,5,Education,11.474350942990453,1.791759469228055,0.7145316127118037,0.5186994593697881,-0.5283769318528628,1.0,0.27111385490794915,0.3628584820158802,38
Airlearn - Language Learning,4.6,22311.0,54,Education,10.012879929307324,4.007333185232471,0.4172185045418251,0.004698715854047096,0.7434015360421821,1.0,0.27111385490794915,0.34408870927217544,39
Flashcards: Learn Languages,4.55,35575.0,54,Education,10.479426532190532,4.007333185232471,0.26856195045683706,0.16878359918154195,0.7434015360421821,1.0,0.27111385490794915,0.3338515526364287,40
Learn English - Beginners,4.75,72446.0,2,Education,11.190610539024004,1.0986122886681098,0.8631881667967917,0.41890768981791326,-0.9262556631947633,1.0,0.27111385490794915,0.3128078265159329,41
Lingo Legend Language Learning,4.78,8389.0,10,Education,9.034795799461252,2.3978952727983707,0.9523820992477855,-0.3392944015290045,-0.1804442686187177,1.0,0.27111385490794915,0.2701870510074642,42
ConjuGato: Learn Spanish Verbs,4.8,3119.0,19,Education,8.045588280803528,2.995732273553991,1.0118447208817798,-0.6871996253213336,0.16272473513851765,1.0,0.27111385490794915,0.2582343332748103,43
Lingokids - Play and Learn,4.29,199534.0,76,Education,12.203744938520996,4.343805421853684,-0.5044521307851026,0.7752280203254985,0.9365425461960019,1.0,0.27111385490794915,0.2452074485136038,44
Innovative Language Learning,4.4,41901.0,83,Education,10.643088837467957,4.430816798843313,-0.17740771179812695,0.22634378738267164,0.9864886143037571,1.0,0.27111385490794915,0.22134915984709705,45
"Learn French - 11,000 Words",4.38,40353.0,100,Education,10.605445801374623,4.61512051684126,-0.23687033343212374,0.21310469583791214,1.0922822055571755,1.0,0.27111385490794915,0.21475110198075417,46
Learn Dutch Phrases,4.72,4658.0,19,Education,8.446556111816797,2.995732273553991,0.7739942343457978,-0.5461788583426466,0.16272473513851765,1.0,0.27111385490794915,0.20540036875402362,47
